mode,tc,lambda,reward,time,t_size
relaxed,small_82,3,24.0000,0.0480,318816
restricted,small_83,3,26.0000,0.0409,318816
original,small_83,3,26.0000,0.1133,896670
relaxed,small_83,3,30.0000,0.0435,318816
restricted,small_84,3,33.0000,0.0475,318816
original,small_84,3,36.0000,0.1309,896670
relaxed,small_84,3,39.0000,0.0493,318816
restricted,small_85,3,21.0000,0.0407,318816
original,small_85,3,25.0000,0.1115,896670
relaxed,small_85,3,25.0000,0.0429,318816
restricted,small_86,3,34.0000,0.0496,318816
original,small_86,3,35.0000,0.1305,896670
relaxed,small_86,3,38.0000,0.0504,318816
restricted,small_87,3,23.0000,0.0390,318816
original,small_87,3,23.0000,0.1079,896670
relaxed,small_87,3,23.0000,0.0416,318816
restricted,small_88,3,29.0000,0.0488,318816
original,small_88,3,30.0000,0.1343,896670
relaxed,small_88,3,31.0000,0.0516,318816
restricted,small_89,3,22.0000,0.0439,318816
original,small_89,3,26.0000,0.1207,896670
relaxed,small_89,3,26.0000,0.0460,318816
restricted,small_90,3,23.0000,0.0445,318816
original,small_90,3,27.0000,0.1232,896670
relaxed,small_90,3,27.0000,0.0459,318816
restricted,small_91,3,26.0000,0.0413,318816
original,small_91,3,27.0000,0.1109,896670
relaxed,small_91,3,27.0000,0.0414,318816
restricted,small_92,3,19.0000,0.0419,318816
original,small_92,3,19.0000,0.1147,896670
relaxed,small_92,3,19.0000,0.0425,318816
restricted,small_93,3,26.0000,0.0431,318816
original,small_93,3,27.0000,0.1193,896670
relaxed,small_93,3,27.0000,0.0454,318816
restricted,small_94,3,20.0000,0.0463,318816
original,small_94,3,20.0000,0.1148,896670
relaxed,small_94,3,20.0000,0.0432,318816
restricted,small_95,3,25.0000,0.0440,318816
original,small_95,3,25.0000,0.1222,896670
relaxed,small_95,3,25.0000,0.0509,318816
restricted,small_96,3,20.0000,0.0354,318816
original,small_96,3,20.0000,0.0977,896670
relaxed,small_96,3,20.0000,0.0374,318816
restricted,small_97,3,22.0000,0.0386,318816
original,small_97,3,22.0000,0.1112,896670
relaxed,small_97,3,22.0000,0.0393,318816
restricted,small_98,3,14.0000,0.0397,318816
original,small_98,3,14.0000,0.1126,896670
relaxed,small_98,3,14.0000,0.0413,318816
restricted,small_99,3,26.0000,0.0403,318816
original,small_99,3,26.0000,0.1124,896670
relaxed,small_99,3,26.0000,0.0426,318816
restricted,small_100,3,30.0000,0.0447,318816
original,small_100,3,30.0000,0.1225,896670
relaxed,small_100,3,30.0000,0.0463,318816
restricted,small_101,3,24.0000,0.0458,318816
original,small_101,3,26.0000,0.1250,896670
relaxed,small_101,3,26.0000,0.0486,318816
restricted,small_102,3,22.0000,0.0418,318816
original,small_102,3,22.0000,0.1125,896670
relaxed,small_102,3,22.0000,0.0422,318816
restricted,small_103,3,19.0000,0.0390,318816
original,small_103,3,21.0000,0.1036,896670
relaxed,small_103,3,21.0000,0.0383,318816
restricted,small_104,3,26.0000,0.0612,318816
original,small_104,3,26.0000,0.1190,896670
relaxed,small_104,3,30.0000,0.0438,318816
restricted,small_105,3,14.0000,0.0360,318816
original,small_105,3,14.0000,0.0996,896670
relaxed,small_105,3,14.0000,0.0376,318816
restricted,small_106,3,23.0000,0.0433,318816
original,small_106,3,23.0000,0.1173,896670
relaxed,small_106,3,23.0000,0.0456,318816
restricted,small_107,3,19.0000,0.0469,318816
original,small_107,3,19.0000,0.1226,896670
relaxed,small_107,3,19.0000,0.0469,318816
restricted,small_108,3,20.0000,0.0441,318816
original,small_108,3,20.0000,0.1170,896670
relaxed,small_108,3,20.0000,0.0440,318816
restricted,small_109,3,20.0000,0.0453,318816
original,small_109,3,20.0000,0.1177,896670
relaxed,small_109,3,20.0000,0.0443,318816
restricted,small_110,3,29.0000,0.0434,318816
original,small_110,3,31.0000,0.1163,896670
relaxed,small_110,3,31.0000,0.0464,318816
restricted,small_111,3,20.0000,0.0409,318816
original,small_111,3,20.0000,0.1130,896670
relaxed,small_111,3,20.0000,0.0446,318816
restricted,small_112,3,14.0000,0.0435,318816
